#,Song ,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Valence (Happiness),Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
532, Finn's Confession,John Williams,35,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),12/18/15,2:08,21,9,95,93,4,4,25,-22 db,87,E Minor,9A,3,12/18/15,0pQaOmtNL5ChJfmpDoBqDl
186, Fire When Ready,Kevin Kiner,28,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,2:34,23,55,45,82,30,4,9,-9 db,120,D Minor,7A,4,9/14/21,0IksBSoJDUOKm9Q83rLmpJ
138, First Elite Squad,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:56,22,40,37,87,4,4,37,-12 db,130,D Major,10B,4,7/8/21,03udJOCsUiFHWZvLhxnlnH
133, First Time in Space,Kevin Kiner,28,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,2:07,14,29,10,89,4,3,25,-10 db,100,F Minor,4A,4,7/8/21,6buB2LPBpEOfCEWIxPDqff
573, Fleeing from Kijimi,John Williams,29,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,2:51,21,19,91,92,4,4,29,-18 db,144,G#/Aâ™­ Major,4B,5,12/27/19,7AHV9RgQj5UxHMryDjffci
224, Flight of the Shyyyo Bird,"Stephen Barton,Gordy Haab",24,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,11:56,14,15,81,88,3,3,10,-19 db,83,G#/Aâ™­ Major,4B,3,9/3/20,21QEwLdVklrjX7fGRaZvbU
214, Flore and Fauna,"Stephen Barton,Gordy Haab",25,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,4:00,24,17,78,86,5,5,13,-20 db,105,C Major,8B,4,9/3/20,4uqhbHYrk8xdfh3YtewSeU
168, Flying Is a Feeling,Kevin Kiner,31,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,2:50,9,14,87,78,3,4,10,-18 db,67,E Minor,9A,5,9/14/21,2hM7evxI96ObLXdsNhYLuw
245, Flying with Chewie,John Powell,34,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,3:30,19,44,31,92,27,4,15,-16 db,98,C Major,8B,4,5/27/18,0qRkmCnPdsIWnXWHhSxGEe
527, Follow Me,John Williams,32,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),12/18/15,2:54,22,22,88,81,4,4,10,-14 db,158,F#/Gâ™­ Major,2B,5,12/18/15,2L08hXR9EBGF1dY23FoifR
238, Fortress Inquisitorius,"Stephen Barton,Gordy Haab",25,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,6:36,10,27,74,91,4,4,4,-18 db,67,B Minor,10A,4,9/3/20,3iI46GIIouqjGmk5jjZ5pw
511, From the Desert Comes a Stranger,"Joseph Shirley,Ludwig Goransson",37,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,2:19,18,4,63,97,3,6,11,-34 db,79,D Minor,7A,3,2/15/22,6iyfu6nJcOc8isLkonltUV
550, Fun With Finn and Rose,John Williams,34,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Last Jedi (Original Motion Picture Soundtrack),12/15/17,2:33,26,5,96,90,4,4,12,-27 db,103,F Minor,4A,4,12/15/17,6kchN107n8XZul4ZkBhvCn
111, General Grievous,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,4:07,33,47,62,80,13,5,6,-13 db,155,F Minor,4A,5,11/28/15,67qmIDw1v7ouask03q91dc
461, Get the Child,Ludwig Goransson,37,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 1 (Chapters 9-12) [Original Score],11/20/20,2:06,33,41,50,85,6,10,11,-19 db,91,F Minor,4A,4,11/20/20,5J27Jpho4IYzN9jM1RyJ82
75, Getaway Dreams,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 5-8) [Original Soundtrack],4/10/20,2:33,6,10,90,44,3,4,10,-20 db,69,C Minor,5A,4,5/4/20,1HKk1NDReeOHu9xy4P3kBl
281, Glory of the Empire,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,1:49,49,49,21,96,56,3,28,-8 db,115,G Minor,6A,4,5/9/17,4k7Zj0saZfNCheWiM9Zmw7
258, Good Thing You Were Listening,John Powell,25,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,2:08,9,4,91,69,3,4,17,-22 db,86,B Minor,10A,4,5/27/18,5TkXGK7jkHoXPLGwUiAcck
517, Goodnight,"Joseph Shirley,Ludwig Goransson",32,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,2:32,26,11,86,57,4,3,10,-21 db,80,G Minor,6A,3,2/15/22,2jl7nFu5FdLBV6jnmnzIgH
227," Gorgara, The Chyrodactyl","Stephen Barton,Gordy Haab",23,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,11:38,9,24,59,88,4,5,22,-18 db,74,F#/Gâ™­ Major,2B,4,9/3/20,1q5MIrFCR5hqtaiRb6rF6P
429, Greatest Warriors in the Galaxy,Ludwig Goransson,34,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 6 (Original Score),12/13/19,1:29,37,49,73,72,9,4,12,-18 db,166,G Major,9B,4,12/27/19,6emllMBw3Ha3wRe0vQyGeY
113, Grievous and the Droids,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,3:27,39,33,78,93,17,4,24,-18 db,78,G Minor,6A,4,11/28/15,3aF9RjTWpsrIThNvElNQ8Z
119, Grievous Speaks to Lord Sidious,"John Williams,London Voices,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british choir, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode III: Revenge of the Sith [Original Motion Picture Soundtrack],2005,2:49,22,10,91,94,4,4,9,-21 db,132,E Minor,9A,4,11/28/15,22mIg11dpnV1kbm8erWRd4
342, Guardians of the Whills Suite,Michael Giacchino,41,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,2:52,10,19,93,90,4,4,30,-17 db,85,A Minor,8A,4,12/17/16,5A2mIs9L0Cqqg1b5FHuDf8
169, Guilty of Treason,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,3:59,20,42,46,88,12,4,10,-11 db,81,G#/Aâ™­ Major,4B,4,9/14/21,2fQd2jcWxXASghH4xnc7qK
180, Hallway Fight,Kevin Kiner,21,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,2:06,22,58,26,87,10,8,11,-14 db,171,Câ™¯/Dâ™­ Major,3B,4,9/14/21,1a6XvAzdTKz4AIv3KqMOee
390, HammerTime,Ludwig Goransson,46,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 1 (Original Score),11/12/19,2:17,55,59,20,86,8,8,20,-13 db,82,Câ™¯/Dâ™­ Minor,12A,4,12/27/19,6qjb1B5zd6zotkvqLLGzZm
537, Han and Leia,John Williams,38,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),12/18/15,4:41,8,2,97,95,4,5,9,-23 db,171,F#/Gâ™­ Minor,11A,5,12/18/15,435kGXFzCdIT7O3qlR34zw
365, Han Solo and the Princess,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack),1/1/80,3:30,19,6,94,75,3,4,9,-22 db,87,G#/Aâ™­ Major,4B,4,5/30/18,6h5DPe0sygLWCRB5sMvnJG
380, Han Solo Returns (At the Court of Jabba the Hutt),"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: Return of the Jedi (Original Motion Picture Soundtrack),1/1/83,4:13,21,10,96,80,3,4,10,-21 db,137,D Major,10B,3,5/30/18,1ofRU6BwQ3jBA3FVGkRP7R
8, He Is the Chosen One,"John Williams,London Symphony Orchestra,London Voices,New London Children's Choir",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra, british choir, children's choir","Classical, Easy listening",Star Wars: The Phantom Menace (Original Motion Picture Soundtrack),5/4/99,3:53,6,1,97,95,4,4,12,-29 db,59,F Major,7B,4,5/9/17,1GBN9CunAqeG7oKgcqoxJM
322, He's Here For Us,Michael Giacchino,35,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,3:20,30,22,78,82,12,5,19,-19 db,100,B Minor,10A,4,12/17/16,53n7BB3bXGdiadKybuh0Pr
284, Hera and Ezra Talk,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,1:11,25,25,96,87,7,3,18,-13 db,77,D Minor,7A,1,5/9/17,0MCJOa4pD3cQn4QFb5Giqp
296, Hera Soars,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:35,29,53,59,78,11,3,15,-7 db,78,E Major,12B,4,5/9/17,3IJMZ1B2ddVfbRdTYjA7ji
171, Hera's Plan,Kevin Kiner,21,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,4:33,25,47,11,93,10,4,14,-11 db,118,C Minor,5A,4,9/14/21,5ne06bufFSfYZutNuzzzse
387, Hey Mando!,Ludwig Goransson,53,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 1 (Original Score),11/12/19,2:13,28,8,78,41,17,4,12,-21 db,80,C Minor,5A,4,12/27/19,5VYWqoXSXY26NYW68hMWwa
520," Hit It Max - ""The Book of Boba Fett: Vol. 1 (Chapters 1-4)"" Bonus Track","Joseph Shirley,Ludwig Goransson",32,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,2:01,58,72,33,51,55,5,13,-12 db,100,C Major,8B,4,2/15/22,54xqTQfiALHtwNMr4HMHU0
298, Hondo and Ezra Escape,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:15,37,61,24,83,23,3,17,-5 db,138,D Minor,7A,4,5/9/17,1vnLfg0CKNYHXaqVQeQq6t
339, Hope,Michael Giacchino,45,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,1:37,20,32,81,94,7,3,24,-10 db,81,D Minor,7A,3,12/17/16,2x5aboMwAwEIucjDwZsBEv
172, Howzer's Sacrifice,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,4:11,17,31,29,81,3,4,10,-14 db,144,G Minor,6A,4,9/14/21,7ATV8IKc9Bzi9TBICE22e5
366, Hyperspace,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack),1/1/80,4:05,33,30,96,92,11,5,29,-18 db,92,C Major,8B,4,5/30/18,1MOaX5oKSAcC26FPsL9mMR
431, Hyperspace,Ludwig Goransson,32,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 6 (Original Score),12/13/19,2:50,32,39,6,52,15,3,11,-17 db,141,Câ™¯/Dâ™­ Major,3B,3,12/27/19,06uCsRZEDU2yz4MN2YJgOt
525, I Can Fly Anything,John Williams,34,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),12/18/15,3:10,37,33,82,90,8,3,10,-12 db,73,G Major,9B,4,12/18/15,7k6yvU97GVOgUgWdSfTggp
410, I Need One of Those,Ludwig Goransson,35,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 3 (Original Score),11/22/19,1:34,13,18,50,83,7,4,8,-14 db,82,F Major,7B,4,12/27/19,2TfcKnK0AmLKlI5p5LhSZt
230, Ilum,"Stephen Barton,Gordy Haab",26,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,2:52,7,39,52,83,4,4,11,-16 db,73,G#/Aâ™­ Major,4B,1,9/3/20,58kyi5YRPYgEEf8jtavlwK
344, Imperial Attack,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: A New Hope (Original Motion Picture Soundtrack),1/1/77,6:19,17,16,97,84,4,4,8,-18 db,83,E Major,12B,4,5/30/18,7sm2yTl12Yg0o5SDXizd3f
282, Imperial Inquisition,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,2:10,13,23,22,97,11,3,11,-9 db,84,F Major,7B,4,5/9/17,5WWv1hWFgEvbpgJNenOdiy
513, In the Name of Honor,"Joseph Shirley,Ludwig Goransson",33,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,3:24,23,45,66,86,4,4,14,-13 db,147,G#/Aâ™­ Major,4B,1,2/15/22,7dMtvyt66U0btYfHvi7fIv
154, Incoming Vessels,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,2:26,16,18,79,88,4,3,8,-17 db,80,F Minor,4A,3,7/8/21,7o0XrQ6GP0xXFCFM8P19Ka
213, Infiltration,"Stephen Barton,Gordy Haab",24,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,3:14,27,38,72,95,16,5,12,-16 db,136,B Minor,10A,4,9/3/20,2gtVDxxAkTmStDipr5FG3n
350, Inner City,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: A New Hope (Original Motion Picture Soundtrack),1/1/77,4:16,17,9,97,93,7,4,14,-19 db,82,F Minor,4A,4,5/30/18,0etVepT4gX2Q1HsXTGPIFe
287, Inquisitor Duel,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,2:32,35,53,59,54,17,3,29,-7 db,83,F Major,7B,4,5/9/17,7mm4R4MWuo7Y1KC86RChR4
179, Into the Base,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,3:16,15,21,65,93,4,4,13,-16 db,62,C Major,8B,4,9/14/21,5uBPS0oa2vKXp1Hbdx8uY1
183, Into the Labs,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,2:12,14,23,70,92,4,4,9,-17 db,95,D Major,10B,3,9/14/21,0tTz2Mt1kymWFp0MXm588j
256, Into the Maw,John Powell,26,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,4:49,17,68,7,88,19,11,35,-14 db,82,F Major,7B,4,5/27/18,5rEB5UGw7KyIq7JnvNoQPs
377, Into the Trap,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars: Return of the Jedi (Original Motion Picture Soundtrack),1/1/83,2:41,44,31,95,91,36,4,10,-15 db,122,D Minor,7A,3,5/30/18,6pl5HyudcFErG6wD6SKVXT
477, Invaders on Their Land,Ludwig Goransson,38,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16) [Original Score],12/18/20,2:48,61,17,51,92,15,3,11,-19 db,125,F Minor,4A,5,12/18/20,2qqsz8gPKBudJ0lqvez7dD
249, Is This Seat Taken?,John Powell,27,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,2:36,63,17,76,86,25,3,14,-27 db,122,C Major,8B,4,5/27/18,4reMJTHJGL5vj9TcP2RM3i
507, It's a Family Affair,"Joseph Shirley,Ludwig Goransson",34,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,3:47,42,18,69,86,4,4,6,-20 db,128,G#/Aâ™­ Major,4B,4,2/15/22,5ZsShHjVhvRyeEizgoqK1P
270, It's a Trap!,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,1:55,26,53,46,86,35,3,36,-8 db,81,G Major,9B,4,5/9/17,2wz8ezGT073U7tKxuBu6K4
99, It's All of Us,Kevin Kiner,30,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) [Original Soundtrack],5/4/20,2:47,17,28,54,98,4,4,7,-13 db,125,C Major,8B,3,5/4/20,0Djqhq93TBwph8BfFKfu1g
321, It's Over Now,Kevin Kiner,38,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:54,18,40,7,87,5,3,13,-8 db,76,G Major,9B,4,5/9/17,16wUDAcRs8fXACU6DyDC2x
24, Jango's Escape,"John Williams,London Symphony Orchestra",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra","Classical, Easy listening",Star Wars Episode 2: Attack of the Clones,3/11/02,3:48,38,38,83,93,28,4,10,-17 db,156,G Major,9B,3,4/3/14,5RT85qUdmi4AEqYGHqbSfE
4, Jar Jar's Introduction and the Swim to Otoh Gunga,"John Williams,London Symphony Orchestra,London Voices,New London Children's Choir",0,"orchestral soundtrack, soundtrack, british orchestra, classical, classical performance, orchestra, british choir, children's choir","Classical, Easy listening",Star Wars: The Phantom Menace (Original Motion Picture Soundtrack),5/4/99,5:07,18,3,97,86,4,4,12,-29 db,89,Câ™¯/Dâ™­ Major,3B,4,5/9/17,2wtcUpUevD0rasS36uiMpq
397, Jawas Attack,Ludwig Goransson,39,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 2 (Original Score),11/15/19,3:46,29,57,15,97,16,9,16,-13 db,69,C Minor,5A,4,12/27/19,4iPvTh1GfNwZlLNUp7dT8Y
327, Jedha Arrival,Michael Giacchino,34,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,2:48,12,15,83,78,4,4,12,-17 db,88,G Major,9B,4,12/17/16,1Nw4OIdz16ELHuwgc0FA9A
328, Jedha City Ambush,Michael Giacchino,33,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,2:19,46,51,59,92,11,7,13,-11 db,150,G#/Aâ™­ Major,4B,4,12/17/16,4lNykqX7Lv55AXnlsSgQmh
53, Jedi Eulogy,"Kevin Kiner,Takeshi Furukawa",41,"scorecore, soundtrack, video game music, japanese soundtrack",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,1:08,17,29,80,91,3,4,11,-9 db,116,D#/Eâ™­ Major,5B,3,5/9/17,2CZpTGkuC9jhfCSKt0Vg9d
36, Jedi Master Aayla Secura,Kevin Kiner,33,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,1:31,43,46,77,86,8,4,11,-11 db,77,A Minor,8A,4,5/9/17,4blUiLKiSubHvh3R0wc0vz
37, Jedi Master Luminara,Kevin Kiner,30,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,2:06,8,20,59,88,4,4,11,-9 db,80,G Minor,6A,4,5/9/17,69nzyxwXTwILlSRCQG5sQC
198, Jedi Starfighter,"Stephen Barton,Gordy Haab",30,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,2:32,13,5,89,82,3,5,11,-21 db,147,F Minor,4A,4,9/3/20,0jVPQRKUe32nYZRXFt1WVG
575, Join Me,John Williams,30,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,3:42,7,22,45,91,4,4,20,-17 db,75,B Minor,10A,3,12/27/19,0srPep3DPaQUEI88DaHdGe
305, Journey Into the Star Cluster,Kevin Kiner,36,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,2:48,37,15,54,64,38,3,8,-13 db,95,A Minor,8A,4,5/9/17,4MwMx32Zd9OLxQbe37OobY
567, Journey to Exegol,John Williams,34,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,2:49,25,33,70,84,17,4,16,-15 db,128,D Major,10B,4,12/27/19,5dRC1qJX3IBG6BIvmrmnrI
340, Jyn Erso & Hope Suite,Michael Giacchino,47,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,5:51,13,12,85,93,4,4,33,-17 db,72,G Major,9B,3,12/17/16,4tD2tUs8Bf4X5dMS6CxccV
269, Kallus,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,0:56,10,16,84,6,4,4,25,-17 db,77,F Major,7B,4,5/9/17,46sx0JhYN6rh8t6csiUwsA
301, Kanan and Hera,Kevin Kiner,26,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:35,14,10,97,14,4,4,10,-18 db,79,Câ™¯/Dâ™­ Minor,12A,4,5/9/17,5JOf8RHTWiyGcVtgFYWbNb
285, Kanan at the Gate,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season One (Original Soundtrack),9/16/16,2:27,23,47,5,79,11,3,9,-9 db,107,G Minor,6A,3,5/9/17,602ZOZbYBhorRhPY0XBGcI
294, Kanan Salutes Rex,Kevin Kiner,24,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,0:45,16,29,90,94,4,4,26,-12 db,134,D Major,10B,4,5/9/17,3AEfC6t8Fck3AmDfXKLkOj
317, Kanan's Mask,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:04,42,55,57,72,9,4,22,-9 db,135,G Minor,6A,4,5/9/17,4q3afuI7W79ZA58aLjeo7V
209, Kashyyyk,"Stephen Barton,Gordy Haab",26,"british soundtrack, video game music",Easy listening,Star Wars Jedi: Fallen Order (Original Video Game Soundtrack),8/21/20,5:27,24,31,73,86,9,6,38,-20 db,136,E Major,12B,4,9/3/20,1qSqszSegTcso2kxM6g5rD
302, Ketsu and Sabine's History,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:24,18,23,40,75,8,4,8,-12 db,89,G Major,9B,4,5/9/17,57G8ginzSSiBiBwruBsyeF
295, Kidnapping Fenn Rau,Kevin Kiner,21,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:08,22,64,5,87,14,4,15,-6 db,130,A#/Bâ™­ Major,6B,4,5/9/17,4TEl8pAK1LpQKZsopuzRe1
45, Kit Fisto Duels Grievous,Kevin Kiner,29,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Clone Wars (Seasons One Through Six/Original Soundtrack),1/1/14,2:02,26,70,8,95,21,4,19,-7 db,97,A Minor,8A,4,5/9/17,6aTqrjgPHCKL0IN8RnGnV0
331, Krennic's Aspirations,Michael Giacchino,33,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,4:16,15,5,86,89,4,4,11,-19 db,137,G Minor,6A,3,12/17/16,3Al2YPSP2wyuewxOv2j9x7
440, Kuiil,Ludwig Goransson,34,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 7 (Original Score),12/18/19,1:22,0,4,91,88,0,0,9,-17 db,0,D Minor,7A,0,12/27/19,2YBICpMwtT7EnV4m4pJL3k
535, Kylo Ren Arrives at the Battle,John Williams,43,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),12/18/15,2:01,24,30,88,94,6,5,14,-15 db,123,A Major,11B,4,12/18/15,4iMmW8NcVFU5ytJkHa6IbA
250, L3 & Millennium Falcon,John Powell,34,"british soundtrack, orchestral soundtrack, soundtrack",Easy listening,Solo: A Star Wars Story (Original Motion Picture Soundtrack),5/25/18,3:16,21,11,56,93,4,3,9,-19 db,100,A Major,11B,4,5/27/18,3eAQQB5gp7ckbsbnbyq7x8
193, Lama Su,Kevin Kiner,22,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 2 (Episodes 9-16) [Original Soundtrack],8/20/21,2:30,14,23,30,91,3,4,11,-20 db,82,G Major,9B,1,9/14/21,1UdI4frLe0D0yBzIsmJLB9
